"entity_key","location_id","initial_geoid"
"ansi:00277295","loc_00000218","06061"
"ansi:00277296","loc_00000219","06063"
"ansi:00277297","loc_00000220","06065"
"ansi:00277298","loc_00000221","06067"
"ansi:00277299","loc_00000222","06069"
"ansi:00277300","loc_00000223","06071"
"ansi:00277301","loc_00000224","06073"
"ansi:00277302","loc_00000225","06075"
"ansi:00277303","loc_00000226","06077"
"ansi:00277304","loc_00000227","06079"
"ansi:00277305","loc_00000228","06081"
"ansi:00277306","loc_00000229","06083"
"ansi:00277307","loc_00000230","06085"
"ansi:00277308","loc_00000231","06087"
"ansi:01682610","loc_00000232","06089"
"ansi:00277310","loc_00000233","06091"
"ansi:00277311","loc_00000234","06093"
"ansi:00277312","loc_00000235","06095"
"ansi:01657246","loc_00000236","06097"
"ansi:00277314","loc_00000237","06099"
"ansi:00277315","loc_00000238","06101"
"ansi:01692767","loc_00000239","06103"
"ansi:00277317","loc_00000240","06105"
"ansi:00277318","loc_00000241","06107"
"ansi:00277319","loc_00000242","06109"
"ansi:00277320","loc_00000243","06111"
"ansi:00277321","loc_00000244","06113"
"ansi:00277322","loc_00000245","06115"
"ansi:00198116","loc_00000246","08001"
"ansi:00198117","loc_00000247","08003"
"ansi:00198118","loc_00000248","08005"
"ansi:00198119","loc_00000249","08007"
"ansi:00198120","loc_00000250","08009"
"ansi:00198121","loc_00000251","08011"
"ansi:00198122","loc_00000252","08013"
"ansi:01945881","loc_00000253","08014"
"ansi:00198123","loc_00000254","08015"
"ansi:00198124","loc_00000255","08017"
"ansi:00198125","loc_00000256","08019"
"ansi:00198126","loc_00000257","08021"
"ansi:00198127","loc_00000258","08023"
"ansi:00198128","loc_00000259","08025"
"ansi:00198129","loc_00000260","08027"
"ansi:00198130","loc_00000261","08029"
"ansi:00198131","loc_00000262","08031"
"ansi:00198132","loc_00000263","08033"
"ansi:00198133","loc_00000264","08035"
"ansi:00198134","loc_00000265","08037"
"ansi:00198136","loc_00000266","08039"
"ansi:00198135","loc_00000267","08041"
"ansi:00198137","loc_00000268","08043"
"ansi:00198138","loc_00000269","08045"
"ansi:00198139","loc_00000270","08047"
"ansi:00198140","loc_00000271","08049"
"ansi:00198141","loc_00000272","08051"
"ansi:00198142","loc_00000273","08053"
"ansi:00198143","loc_00000274","08055"
"ansi:00198144","loc_00000275","08057"
"ansi:00198145","loc_00000276","08059"
"ansi:00198146","loc_00000277","08061"
"ansi:00198147","loc_00000278","08063"
"ansi:00198149","loc_00000279","08065"
"ansi:00198148","loc_00000280","08067"
"ansi:00198150","loc_00000281","08069"
"ansi:00198151","loc_00000282","08071"
"ansi:00198152","loc_00000283","08073"
"ansi:00198153","loc_00000284","08075"
"ansi:00198154","loc_00000285","08077"
"ansi:00198155","loc_00000286","08079"
"ansi:00198156","loc_00000287","08081"
"ansi:00198157","loc_00000288","08083"
"ansi:00198158","loc_00000289","08085"
"ansi:00198159","loc_00000290","08087"
"ansi:00198160","loc_00000291","08089"
"ansi:00198161","loc_00000292","08091"
"ansi:00198162","loc_00000293","08093"
"ansi:00198163","loc_00000294","08095"
"ansi:00198164","loc_00000295","08097"
"ansi:00198165","loc_00000296","08099"
"ansi:00198166","loc_00000297","08101"
"ansi:00198167","loc_00000298","08103"
"ansi:00198168","loc_00000299","08105"
"ansi:00198169","loc_00000300","08107"
"ansi:00198170","loc_00000301","08109"
"ansi:00198171","loc_00000302","08111"
"ansi:00198172","loc_00000303","08113"
"ansi:00198173","loc_00000304","08115"
"ansi:00198174","loc_00000305","08117"
"ansi:00198175","loc_00000306","08119"
"ansi:00198176","loc_00000307","08121"
"ansi:00198177","loc_00000308","08123"
"ansi:00198178","loc_00000309","08125"
"ansi:02830244","loc_00000310","09110"
"ansi:02830245","loc_00000311","09120"
"ansi:02830246","loc_00000312","09130"
"ansi:02830249","loc_00000313","09140"
"ansi:02830250","loc_00000314","09150"
"ansi:02830251","loc_00000315","09160"
"ansi:02830252","loc_00000316","09170"
"ansi:02830253","loc_00000317","09180"
"ansi:02830254","loc_00000318","09190"
"ansi:00217271","loc_00000319","10001"
"ansi:00217270","loc_00000320","10003"
"ansi:00217269","loc_00000321","10005"
"ansi:01702382","loc_00000322","11001"
"ansi:00308548","loc_00000323","12001"
"ansi:00306920","loc_00000324","12003"
"ansi:00295738","loc_00000325","12005"
"ansi:00303634","loc_00000326","12007"
"ansi:00295749","loc_00000327","12009"
"ansi:00295753","loc_00000328","12011"
"ansi:00306919","loc_00000329","12013"
"ansi:00295742","loc_00000330","12015"
"ansi:00295752","loc_00000331","12017"
"ansi:00295726","loc_00000332","12019"
"ansi:00295754","loc_00000333","12021"
"ansi:00306909","loc_00000334","12023"
"ansi:00294452","loc_00000335","12027"
"ansi:00295725","loc_00000336","12029"
"ansi:00293656","loc_00000337","12031"
"ansi:00295737","loc_00000338","12033"
"ansi:00308547","loc_00000339","12035"
"ansi:00306911","loc_00000340","12037"
"ansi:00306918","loc_00000341","12039"
"ansi:00303633","loc_00000342","12041"
"ansi:00295743","loc_00000343","12043"
"ansi:00306917","loc_00000344","12045"
"ansi:00295736","loc_00000345","12047"
"ansi:00295746","loc_00000346","12049"
"ansi:00307626","loc_00000347","12051"
"ansi:00295751","loc_00000348","12053"
"ansi:00295756","loc_00000349","12055"
"ansi:00295757","loc_00000350","12057"
"ansi:00295735","loc_00000351","12059"
"ansi:00307624","loc_00000352","12061"
"ansi:00295734","loc_00000353","12063"
"ansi:00295733","loc_00000354","12065"
"ansi:00295732","loc_00000355","12067"
"ansi:00308551","loc_00000356","12069"
"ansi:00295758","loc_00000357","12071"
"ansi:00306916","loc_00000358","12073"
"ansi:00295724","loc_00000359","12075"
"ansi:00308549","loc_00000360","12077"
"ansi:00295731","loc_00000361","12079"
"ansi:00295744","loc_00000362","12081"
"ansi:00306922","loc_00000363","12083"
"ansi:00308550","loc_00000364","12085"
"ansi:00295755","loc_00000365","12086"
"ansi:00295759","loc_00000366","12087"
"ansi:00295730","loc_00000367","12089"
"ansi:00306915","loc_00000368","12091"
"ansi:00295760","loc_00000369","12093"
"ansi:00295750","loc_00000370","12095"
"ansi:00295748","loc_00000371","12097"
"ansi:00295761","loc_00000372","12099"
"ansi:00295739","loc_00000373","12101"
"ansi:00295745","loc_00000374","12103"
"ansi:00295747","loc_00000375","12105"
"ansi:00306910","loc_00000376","12107"
"ansi:00308371","loc_00000377","12109"
"ansi:00308372","loc_00000378","12111"
"ansi:00306914","loc_00000379","12113"
"ansi:00295741","loc_00000380","12115"
"ansi:00303665","loc_00000381","12117"
"ansi:00295740","loc_00000382","12119"
"ansi:00295729","loc_00000383","12121"
"ansi:00295728","loc_00000384","12123"
"ansi:00306913","loc_00000385","12125"
"ansi:00306921","loc_00000386","12127"
"ansi:00306912","loc_00000387","12129"
"ansi:00295727","loc_00000388","12131"
"ansi:00295762","loc_00000389","12133"
"ansi:00349113","loc_00000390","13001"
"ansi:00345784","loc_00000391","13003"
"ansi:00344784","loc_00000392","13005"
"ansi:00342832","loc_00000393","13007"
"ansi:00345255","loc_00000394","13009"
"ansi:00349230","loc_00000395","13011"
"ansi:00356976","loc_00000396","13013"
"ansi:00351604","loc_00000397","13015"
"ansi:00351606","loc_00000398","13017"
"ansi:00326638","loc_00000399","13019"
"ansi:01672039","loc_00000400","13021"
"ansi:00347451","loc_00000401","13023"
"ansi:00351605","loc_00000402","13025"
"ansi:00345518","loc_00000403","13027"
"ansi:00350496","loc_00000404","13029"
"ansi:00350302","loc_00000405","13031"
"ansi:00347944","loc_00000406","13033"
"ansi:00352295","loc_00000407","13035"
"ansi:00344074","loc_00000408","13037"
"ansi:01671316","loc_00000409","13039"
